Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Alaffia Health,alaffiahealth.com,"Alaffia Health specializes in artificial intelligence-powered payment integrity services within the health tech sector. The company offers solutions that automate pre-payment claim reviews and optimize claims processing for healthcare payers, aiming to reduce fraud, waste, and abuse. Alaffia Health primarily serves healthcare payers, cost-containment firms, and government agencies. Alaffia Health was founded in 2020 and is based in New York, New York.",,Series A,05/04/2024,15.1,"Hustle Fund, Entrepreneurs Roundtable Accelerator, 1984 Ventures, Anthemis, Aperture Venture Partners, Plug and Play Ventures, Remarkable Ventures, TAU Ventures, Twine Ventures, Aperture Venture Capital, FirstMark Capital, Gingerbread Capital",30.46,10,,,,661,24/04/2024,United States,,,,,
Revuze,revuze.it,"Revuze is a company that focuses on consumer insights, specifically in the domain of online reviews, using Generative AI technology. The company's main services include collecting unstructured data from various sources such as eCommerce reviews and user-generated content, and then organizing this data into actionable insights that describe consumer needs. These insights are used by businesses in various sectors including the consumer goods, personal care, sporting goods, fashion and apparel, home appliances, food and beverages, technology, personal health, toys, footwear, and cosmetics industries. It was founded in 2013 and is based in Netanya, Israel.",Horizontal applications,Growth Equity,03/11/2022,21.1,"NPD Group, Nielsen Innovate, TIC Group, Maverick Ventures Israel, Prytek, SAP.iO Fund, Karyn Schoenbart, PSG, Tod Johnson",29.26,12,,,,572,21/02/2024,Israel,,,,,
Tektonic AI,tektonic.ai,"Tektonic AI specializes in the development of GenAI agents that facilitate sales and revenue operations within the automation software industry. The company provides a platform that automates complex business processes, offers contextual guidance for decision-making, and integrates disconnected systems to streamline operations. Tektonic AI's solutions are primarily utilized by sales and revenue teams for efficiency and autonomy in workflows. It was founded in 2023 and is based in Seattle, Washington.",,Seed VC,06/06/2024,10,"Madrona Venture Group, Point72 Ventures",29.75,10,,,,721,23/08/2024,United States,,,,,
Podcastle,podcastle.ai,"Podcastle is a web-based platform that specializes in podcast creation and audio content production. The company offers tools for recording, editing, enhancing, transcribing, and publishing podcasts, utilizing AI technology to simplify these processes. Podcastle primarily serves content creators, educators, and businesses in the digital media and podcasting sectors. It was founded in 2020 and is based in Middletown, Delaware.",Horizontal applications,Series A,01/02/2024,22.45,"AI Fund, Correlation Ventures, Sierra Ventures, Point Nine Capital, RTP Global, S16VC, Anthony Casalena, Mosaic Ventures, Rene Rechtman",27.79,13.5,,,,704,04/10/2023,United States,Voice synthesis & cloning, ,x, , 
Outplay,outplayhq.com,"Outplay is a sales engagement platform that specializes in multi-channel outreach and sales automation for fast-scaling SMBs. The company offers a suite of tools including AI-powered conversational intelligence, sales prospecting, and CRM synchronization to enhance sales team efficiency and lead management. Outplay's solutions are designed to automate and personalize outreach across various channels, helping sales teams to increase their productivity and revenue. It was founded in 2019 and is based in Wilmington, Delaware.",Horizontal applications,Series A,21/07/2021,9.3,"Surge, Peak XV Partners",27.36,7.3,,,,348,04/10/2023,United States,Sales email & outreach,x, , , 
Latent Labs Technologies,latentlabs.com,"Latent Labs Technologies specializes in the development of foundation models for analyzing molecular data within the life sciences sector. The company's services facilitate the processing and interpretation of complex molecular information for various applications. It primarily serves the life science industry. The company was founded in 2023 and is based in Dover, Delaware.",,Incubator/Accelerator,17/09/2024,9.11,"8VC, Kindred Capital, Pillar, AWS Generative AI Accelerator",27.36,,,,,,26/09/2024,United States,,,,,
Modyfi,modyfi.com,"Modyfi is a design platform that specializes in providing a suite of multidisciplinary design tools for creatives in various industries. The company offers a browser-based application that enables design, animation, and image generation without the need for multiple apps. It has tooling, intuitive vector editing, and non-destructive image processing capabilities to help designers. It was founded in 2021 and is based in Los Angeles, California.",,Series A,03/06/2024,31.73,"Craft Ventures, Cursor Capital, General Catalyst, Habitat Partners, New Enterprise Associates, Innovation Endeavors",26.01,14.65,,,,677,15/03/2024,United States,,,,,
Causaly,causaly.com,"Causaly is a generative AI platform focused on accelerating research and knowledge automation in the life sciences sector. The company offers a solution that enhances research productivity by providing insights and reducing reading time through the analysis of scientific literature, enabling the discovery of novel relationships between diseases, pathways, and genes. Causaly primarily serves the pharmaceutical industry, aiding in drug discovery, biomarker identification, and understanding of disease biology. It was founded in 2018 and is based in London, England.",Healthcare & life sciences,Series B - II,13/07/2023,90.72,"Alexander Moscho, Charlie Songhurst, Emerge Education, Marathon Venture Capital, Matt Clifford, Nadav Rosenberg, EBRD Venture Capital, Pentech, Index Ventures, Alex Gorsky, ICONIQ Capital, Marathon Ventures, Olivier Pomel, Visionaries Club",25.47,60,,,,644,04/10/2023,United Kingdom,Biomedical NLP,x, , , 
Portrait,portrait-analytics.com,"Portrait, also known as Portrait Analytics, specializes in AI-powered financial analysis within the investment sector. The company offers services that function as an AI-powered research analyst, designed to assist in generating high-conviction investment theses swiftly.  It was founded in 2021 and is based in Boston, Massachusetts.",Finance,Seed VC,20/07/2023,10,".406 Ventures, Unusual Ventures",25.24,7,,,,625,04/10/2023,United States,Investment research assistant,x, , , 
CueZen,cuezen.com,"CueZen operates as a technology company that focuses on the healthcare sector. The company offers AI-based solutions that provide personalized health recommendations for patient care and health outcomes. Its primary customers are in the healthcare industry, including payors, retail health, and manufacturers. It was founded in 2021 and is based in Seattle, Washington.",Healthcare & life sciences,Incubator/Accelerator,11/03/2024,7,Microsoft for Startups Pegasus Program,25.4,,,,,584,04/10/2023,United States,Behavioral health,x, , , 
Augmenta,augmenta.ai,"Augmenta specializes in automating building design within the construction industry, leveraging Generative AI to enhance efficiency and sustainability. The company's main offering is a cloud-based platform that automates the design of electrical systems, providing code compliant and constructible solutions that reduce design time from weeks to hours. Augmenta's platform is designed to serve the construction industry by enabling the creation of sustainable, efficient, and optimized buildings and infrastructure. It was founded in 2018 and is based in Toronto, Ontario.",Industrials,Seed VC - II,21/06/2023,15.85,"Ferguson Ventures, Hazelview Ventures, Whiteshell Group, BDC Capital, Eclipse Ventures, Suffolk Technologies",25,11.75,,,,699,04/10/2023,Canada,Building design, , , ,x
Portal26,portal26.ai,"Portal26 focuses on providing AI TRiSM (AI Trust, Risk, and Security Management) solutions within the generative AI domain. The company offers a platform that enables organizations to adopt generative AI responsibly by providing tools for AI visibility, governance, data security, development, and education. Portal26's platform is designed to support businesses in enhancing productivity and competitiveness while ensuring compliance with security and privacy standards. Portal26 was formerly known as Titaniam. It was founded in 2019 and is based in San Jose, California.",Generative AI infrastructure,Incubator/Accelerator,24/09/2024,6.05,"Dale Fuller, Fusion Fund, Ray Rothrock, Refinery Ventures, Richard Clarke, Shasta Ventures, Tokio Marine Future Fund, AWS ISV Accelerate Program",25,,,,,620,21/02/2024,United States,Security,,,,
